"message.id","sender.id","receiver.id","time","type","weight"
0,1,1,-0.68997376976087,"add.actor",1
0,2,2,-0.68997376976087,"add.actor",1
0,3,3,-0.68997376976087,"add.actor",1
0,4,4,-0.68997376976087,"add.actor",1
0,5,5,-0.68997376976087,"add.actor",1
0,6,6,-0.68997376976087,"add.actor",1
0,7,7,-0.68997376976087,"add.actor",1
0,8,8,-0.68997376976087,"add.actor",1
0,9,9,-0.68997376976087,"add.actor",1
0,10,10,-0.68997376976087,"add.actor",1
0,11,11,-0.68997376976087,"add.actor",1
0,12,12,-0.68997376976087,"add.actor",1
0,13,13,-0.68997376976087,"add.actor",1
0,14,14,-0.68997376976087,"add.actor",1
0,15,15,-0.68997376976087,"add.actor",1
0,16,16,-0.68997376976087,"add.actor",1
0,17,17,-0.68997376976087,"add.actor",1
0,18,18,-0.68997376976087,"add.actor",1
0,19,19,-0.68997376976087,"add.actor",1
0,20,20,-0.68997376976087,"add.actor",1
0,4,4,-0.68997376976087,"is.group",1
0,6,6,-0.68997376976087,"is.group",1
0,7,7,-0.68997376976087,"is.group",1
0,9,9,-0.68997376976087,"is.group",1
0,13,13,-0.68997376976087,"is.group",1
0,15,15,-0.68997376976087,"is.group",1
0,19,19,-0.68997376976087,"is.group",1
0,20,20,-0.68997376976087,"is.group",1
0,1,1,-0.68997376976087,"active",2.06080403808762
0,2,2,-0.68997376976087,"active",-0.465712980499281
0,3,3,-0.68997376976087,"active",-0.406311635658868
0,4,4,-0.68997376976087,"active",0.234310105828019
0,5,5,-0.68997376976087,"active",1.15251479712599
0,6,6,-0.68997376976087,"active",0.13791375101722
0,7,7,-0.68997376976087,"active",-0.543080846795863
0,8,8,-0.68997376976087,"active",0.188491576892935
0,9,9,-0.68997376976087,"active",-0.308357172985719
0,10,10,-0.68997376976087,"active",-1.40705699690664
0,11,11,-0.68997376976087,"active",-1.67590614631224
0,12,12,-0.68997376976087,"active",0.878787097394278
0,13,13,-0.68997376976087,"active",0.258651817172933
0,14,14,-0.68997376976087,"active",0.958493782000694
0,15,15,-0.68997376976087,"active",0.442248259060474
0,16,16,-0.68997376976087,"active",-0.779094949806985
0,17,17,-0.68997376976087,"active",-2.39626947326109
0,18,18,-0.68997376976087,"active",2.03288038249051
0,19,19,-0.68997376976087,"active",0.59264850190117
0,20,20,-0.68997376976087,"active",-0.633663730581058
1,16,18,0.31002623023913,"email",1
2,2,10,0.578792347869616,"email",1
3,5,17,0.808146012459021,"email",1
4,17,1,1.05438741828325,"email",1
5,3,17,1.86954109130536,"email",1
6,2,5,2.21295817248361,"email",1
7,3,6,2.35147081885967,"email",1
8,8,2,2.39394875260188,"email",1
9,12,11,3.05864836051198,"email",1
10,6,17,3.08698397322174,"email",1
11,4,10,3.14233453789274,"email",1
12,4,8,3.40055859529957,"email",1
13,20,6,3.4292717315622,"email",1
14,4,7,3.69031073935359,"email",1
15,16,12,3.99348805722753,"email",1
16,11,9,3.99736065834403,"email",1
17,5,6,4.42644873245229,"email",1
18,1,8,4.65646397857488,"email",1
19,15,3,4.79054543455908,"email",1
20,2,17,4.98154093195809,"email",1
21,9,5,5.0103767292804,"email",1
22,4,3,5.38409195119907,"email",1
23,18,5,5.52322793844116,"email",1
24,15,6,5.71510358704104,"email",1
25,8,15,5.75420648229365,"email",1
26,8,10,6.00299513423013,"email",1
27,7,6,6.22249224906693,"email",1
28,18,7,6.22650939347324,"email",1
29,17,8,6.27980344675231,"email",1
30,20,17,6.44602913748783,"email",1
31,17,3,6.64885124708361,"email",1
32,12,4,6.77840197151881,"email",1
33,15,4,7.20291830612153,"email",1
34,9,15,7.54109455336228,"email",1
35,16,19,8.61618892441886,"email",1
36,16,1,8.8156813805675,"email",1
37,19,12,8.8447116784606,"email",1
38,14,10,8.93862508974921,"email",1
39,6,17,8.95074430393504,"email",1
40,13,17,9.33996053197093,"email",1
41,11,1,9.36564865893427,"email",1
41,11,13,9.36564865893427,"email",1
42,8,2,9.93303882451396,"email",1
42,8,4,9.93303882451396,"email",1
43,6,7,9.93528675160905,"email",1
44,13,17,10.5581656966252,"email",1
45,13,7,10.6497976160793,"email",1
46,3,17,11.2748262619201,"email",1
47,12,17,11.8126988947397,"email",1
48,14,8,11.9701429700931,"email",1
49,10,5,12.6181765061579,"email",1
50,2,9,12.775323168609,"email",1
51,4,10,12.9542933313738,"email",1
52,17,2,13.008927465799,"email",1
53,12,16,13.0963329891558,"email",1
54,3,18,13.2835422384202,"email",1
55,12,14,13.8422983260011,"email",1
56,14,4,14.2247022766793,"email",1
57,12,10,14.3676000389652,"email",1
58,3,10,14.4068525334031,"email",1
59,6,20,14.4185986091746,"email",1
60,1,17,14.6379336534398,"email",1
61,1,12,16.3628468425078,"email",1
62,7,11,17.0864032814942,"email",1
