"mr_level_pct","replicate","seed","eps_factor","eps_max","n_mr_rows","n_noised","n_rows","statistic","estimate","se","elapsed_sec"
0,1,20260522,0.1,3.96537501501371e-07,0,0,2000,"baseline",-4.89593253069307,0.0578622216695817,1.24795508384705
0,1,20260522,0.1,3.96537501501371e-07,0,0,2000,"inertia",0.0232740902502863,0.00706139652648337,1.24795508384705
0,1,20260522,0.1,3.96537501501371e-07,0,0,2000,"reciprocity",0.0970222742767229,0.00681167705260934,1.24795508384705
0,1,20260522,0.1,3.96537501501371e-07,0,0,2000,"otp",0.0293629549766802,0.00116419547412378,1.24795508384705
0,1,20260522,0.1,3.96537501501371e-07,0,0,2000,"difference_active",0.0791915474512444,0.0399823102172324,1.24795508384705
0,1,20260522,0.1,3.96537501501371e-07,0,0,2000,"same_group",0.373242695306665,0.0526527531693664,1.24795508384705
0,2,20260523,0.1,3.96537501501371e-07,0,0,2000,"baseline",-4.89593253069307,0.0578622216695817,1.4353928565979
0,2,20260523,0.1,3.96537501501371e-07,0,0,2000,"inertia",0.0232740902502863,0.00706139652648337,1.4353928565979
0,2,20260523,0.1,3.96537501501371e-07,0,0,2000,"reciprocity",0.0970222742767229,0.00681167705260934,1.4353928565979
0,2,20260523,0.1,3.96537501501371e-07,0,0,2000,"otp",0.0293629549766802,0.00116419547412378,1.4353928565979
0,2,20260523,0.1,3.96537501501371e-07,0,0,2000,"difference_active",0.0791915474512444,0.0399823102172324,1.4353928565979
0,2,20260523,0.1,3.96537501501371e-07,0,0,2000,"same_group",0.373242695306665,0.0526527531693664,1.4353928565979
0,3,20260524,0.1,3.96537501501371e-07,0,0,2000,"baseline",-4.89593253069307,0.0578622216695817,1.20413899421692
0,3,20260524,0.1,3.96537501501371e-07,0,0,2000,"inertia",0.0232740902502863,0.00706139652648337,1.20413899421692
0,3,20260524,0.1,3.96537501501371e-07,0,0,2000,"reciprocity",0.0970222742767229,0.00681167705260934,1.20413899421692
0,3,20260524,0.1,3.96537501501371e-07,0,0,2000,"otp",0.0293629549766802,0.00116419547412378,1.20413899421692
0,3,20260524,0.1,3.96537501501371e-07,0,0,2000,"difference_active",0.0791915474512444,0.0399823102172324,1.20413899421692
0,3,20260524,0.1,3.96537501501371e-07,0,0,2000,"same_group",0.373242695306665,0.0526527531693664,1.20413899421692
0,4,20260525,0.1,3.96537501501371e-07,0,0,2000,"baseline",-4.89593253069307,0.0578622216695817,1.31211590766907
0,4,20260525,0.1,3.96537501501371e-07,0,0,2000,"inertia",0.0232740902502863,0.00706139652648337,1.31211590766907
0,4,20260525,0.1,3.96537501501371e-07,0,0,2000,"reciprocity",0.0970222742767229,0.00681167705260934,1.31211590766907
0,4,20260525,0.1,3.96537501501371e-07,0,0,2000,"otp",0.0293629549766802,0.00116419547412378,1.31211590766907
0,4,20260525,0.1,3.96537501501371e-07,0,0,2000,"difference_active",0.0791915474512444,0.0399823102172324,1.31211590766907
0,4,20260525,0.1,3.96537501501371e-07,0,0,2000,"same_group",0.373242695306665,0.0526527531693664,1.31211590766907
0,5,20260526,0.1,3.96537501501371e-07,0,0,2000,"baseline",-4.89593253069307,0.0578622216695817,1.13891506195068
0,5,20260526,0.1,3.96537501501371e-07,0,0,2000,"inertia",0.0232740902502863,0.00706139652648337,1.13891506195068
