"mr_level_pct","replicate","seed","eps_max","elapsed_sec"
0,1,20260522,3.96537501501371e-07,1.82214617729187
0,2,20260523,3.96537501501371e-07,1.49473190307617
0,3,20260524,3.96537501501371e-07,1.47881984710693
0,4,20260525,3.96537501501371e-07,1.63590598106384
0,5,20260526,3.96537501501371e-07,1.75286602973938
2,1,20262522,3.96537501501371e-07,1.76335215568542
2,2,20262523,3.96537501501371e-07,1.68246507644653
2,3,20262524,3.96537501501371e-07,1.73489713668823
2,4,20262525,3.96537501501371e-07,1.76060009002686
2,5,20262526,3.96537501501371e-07,1.76827311515808
8,1,20268522,3.96537501501371e-07,1.81048011779785
8,2,20268523,3.96537501501371e-07,1.78592300415039
8,3,20268524,3.96537501501371e-07,1.73286199569702
8,4,20268525,3.96537501501371e-07,1.69184303283691
8,5,20268526,3.96537501501371e-07,1.97958302497864
16,1,20276522,3.96537501501371e-07,1.74272894859314
16,2,20276523,3.96537501501371e-07,1.97103381156921
16,3,20276524,3.96537501501371e-07,2.00898599624634
16,4,20276525,3.96537501501371e-07,1.95827603340149
16,5,20276526,3.96537501501371e-07,2.26198410987854
24,1,20284522,3.96537501501371e-07,3.62235999107361
24,2,20284523,3.96537501501371e-07,3.51373100280762
24,3,20284524,3.96537501501371e-07,3.04850697517395
24,4,20284525,3.96537501501371e-07,2.73837399482727
24,5,20284526,3.96537501501371e-07,2.7492299079895
