"statistic","mr_level_pct","mean_estimate","sd_estimate","n_replicates","true_value","bias"
"baseline",0,-4.89871917966624,0,5,-5,0.101280820333762
"difference_active",0,0.0791425083695594,0,5,0.15,-0.0708574916304406
"inertia",0,0.0231122725308014,0,5,0.02,0.00311227253080142
"otp",0,0.029465163104945,0,5,0.03,-0.000534836895055041
"reciprocity",0,0.097129809696307,0,5,0.1,-0.002870190303693
"same_group",0,0.371036404555016,0,5,0.4,-0.0289635954449845
"baseline",2,-4.87624004405064,3.44332281728865e-05,5,-5,0.12375995594936
"difference_active",2,0.0817554465962734,1.04500471541567e-06,5,0.15,-0.0682445534037266
"inertia",2,0.0253292478096401,3.02835500766071e-06,5,0.02,0.00532924780964006
"otp",2,0.0286699733850798,1.65676064332514e-06,5,0.03,-0.00133002661492016
"reciprocity",2,0.0948801132401889,1.19950534007879e-06,5,0.1,-0.00511988675981108
"same_group",2,0.360779669775446,1.25884965023122e-05,5,0.4,-0.0392203302245537
"baseline",8,-4.79907520621015,5.91076452805822e-05,5,-5,0.200924793789851
"difference_active",8,0.0751258468465403,2.66230724540805e-06,5,0.15,-0.0748741531534597
"inertia",8,0.0224868974161536,5.4260956483811e-06,5,0.02,0.00248689741615363
"otp",8,0.0264221684643427,2.62551839681035e-06,5,0.03,-0.00357783153565735
"reciprocity",8,0.0944386944892755,2.01402995265782e-06,5,0.1,-0.00556130551072447
"same_group",8,0.329683346054126,1.91027921539947e-05,5,0.4,-0.0703166539458741
"baseline",16,-4.70504664372233,8.06576975850783e-05,5,-5,0.294953356277666
"difference_active",16,0.0617755695376442,2.68193057090995e-06,5,0.15,-0.0882244304623558
"inertia",16,0.0363245317393892,6.48652822599309e-06,5,0.02,0.0163245317393892
"otp",16,0.0247018449207657,3.2792463599861e-06,5,0.03,-0.00529815507923425
"reciprocity",16,0.0772095769902314,2.09549771957011e-06,5,0.1,-0.0227904230097686
"same_group",16,0.295375289052816,2.39241938604585e-05,5,0.4,-0.104624710947184
"baseline",24,-4.64058714131977,0.000183030635537819,5,-5,0.359412858680227
"difference_active",24,0.070142843203403,6.16386443573206e-06,5,0.15,-0.079857156796597
"inertia",24,0.0296492935427963,1.53622212305494e-05,5,0.02,0.00964929354279628
"otp",24,0.0231993384943239,6.73801578053944e-06,5,0.03,-0.00680066150567614
"reciprocity",24,0.083280500709883,5.14601903672745e-06,5,0.1,-0.016719499290117
"same_group",24,0.250494103304726,4.79837785844217e-05,5,0.4,-0.149505896695274
