"id","time","group","active","senior"
1,0,1,1.85631757723808,0
2,0,1,0.205118431846441,0
3,0,0,0.461470934224412,0
4,0,0,0.38661921579148,0
5,0,0,-0.171929405706392,1
6,0,1,0.21978095236987,1
7,0,0,0.820813036482017,0
8,0,1,-0.0556425750035487,0
9,0,0,0.281434003216619,0
10,0,0,-0.693398475882489,1
11,0,0,0.244825358303384,0
12,0,0,0.784020411118607,0
13,0,1,-0.195245796934741,0
14,0,0,0.729087734192006,0
15,0,0,0.753736037210124,1
16,0,0,-1.07864656205903,0
17,0,1,0.551073449237894,0
18,0,0,-0.0510097551298716,0
19,0,0,-0.698266033356211,0
20,0,0,0.594033026019488,1
